"id","topic_id","step","result"
"0847e1b8-66f4-401e-9069-c7925e693d53","bd20e212-5d6f-44c3-bddf-daede6e0516f","locked","ok"
"7c7519ac-c8bb-417b-ad0d-05e80593bf71","13785b33-e6ef-4cb5-839e-94394ed1ff49","reviewed","ok"
"7c7519ac-c8bb-417b-ad0d-05e80593bf71","13785b33-e6ef-4cb5-839e-94394ed1ff49","locked","ok"
"fe01e87a-9c8f-45ad-939a-e7a960be9388","7a2c2e52-c0f0-4a62-bb28-69fe43fbd971","reviewed","ok"
"fe01e87a-9c8f-45ad-939a-e7a960be9388","7a2c2e52-c0f0-4a62-bb28-69fe43fbd971","locked","ok"
"c315537f-b426-46ad-a1dc-672b1f9a9111","a19f6fb1-032a-4a8d-acf7-ebfddc401394","reviewed","ok"
"c315537f-b426-46ad-a1dc-672b1f9a9111","a19f6fb1-032a-4a8d-acf7-ebfddc401394","locked","ok"
"6e7fe34f-5a84-4cb7-a521-581fbd541152","a966cebe-c5d9-4989-ad3f-1ebd16c23f89","reviewed","ok"
"6e7fe34f-5a84-4cb7-a521-581fbd541152","a966cebe-c5d9-4989-ad3f-1ebd16c23f89","locked","ok"
"9203bfbd-e9b6-4c59-8e03-30d03ff4dd87","15e5b403-5be3-49c4-a4c5-8c3805cc2694","reviewed","ok"
"9203bfbd-e9b6-4c59-8e03-30d03ff4dd87","15e5b403-5be3-49c4-a4c5-8c3805cc2694","locked","ok"
"959ed018-f41a-41ad-bdab-2aa1f687633b","afc33796-d20d-4103-a4d0-f88f8e3e1087","reviewed","ok"
"959ed018-f41a-41ad-bdab-2aa1f687633b","afc33796-d20d-4103-a4d0-f88f8e3e1087","locked","ok"
"caa2b350-0ed3-4f96-923b-9d2c0221a676","fbfff264-c421-4b05-96da-071a02ee172f","reviewed","ok"
"caa2b350-0ed3-4f96-923b-9d2c0221a676","fbfff264-c421-4b05-96da-071a02ee172f","locked","ok"
"60c8afa9-6607-4556-928a-3aebe10acd33","a5161b93-a3a2-4368-b9a3-d7313146789c","reviewed","ok"
"60c8afa9-6607-4556-928a-3aebe10acd33","a5161b93-a3a2-4368-b9a3-d7313146789c","locked","ok"
"741d105d-c4a8-48bc-84de-69c79117fc89","3a832583-6e5b-41c8-9af7-7e3e8d73781d","reviewed","ok"
"741d105d-c4a8-48bc-84de-69c79117fc89","3a832583-6e5b-41c8-9af7-7e3e8d73781d","locked","ok"
"483bfe69-1516-4adc-8f70-ae46ab3fd389","4db77fe0-323e-4f1f-88c3-f35a6c823427","reviewed","ok"
"483bfe69-1516-4adc-8f70-ae46ab3fd389","4db77fe0-323e-4f1f-88c3-f35a6c823427","locked","ok"
"bdec5422-24bf-416b-a7ab-5fe351765da9","013dda2f-724d-4c10-bd03-9bd2b4b8314c","reviewed","ok"
"bdec5422-24bf-416b-a7ab-5fe351765da9","013dda2f-724d-4c10-bd03-9bd2b4b8314c","locked","ok"
"4098622c-0871-4b85-add7-f297811dbbf6","61c4b3c3-5391-41c0-99c5-ee6ba3111979","reviewed","ok"
"4098622c-0871-4b85-add7-f297811dbbf6","61c4b3c3-5391-41c0-99c5-ee6ba3111979","locked","ok"
"d603ce7f-6542-430d-ae7d-61c4ce0ffdb1","d1525b57-f332-4174-9f7d-b8edd11e0e8b","reviewed","ok"
"d603ce7f-6542-430d-ae7d-61c4ce0ffdb1","d1525b57-f332-4174-9f7d-b8edd11e0e8b","locked","ok"
"b4226be3-41fb-4e1a-add9-2d89424e2261","390cb8c4-537c-469c-b3d1-14d9194d8cea","reviewed","ok"
"b4226be3-41fb-4e1a-add9-2d89424e2261","390cb8c4-537c-469c-b3d1-14d9194d8cea","locked","ok"
"ce079760-9207-4f11-a775-c9810fc70741","5cbfa9f6-7496-4309-801f-ed8a969f6bb2","reviewed","ok"
"ce079760-9207-4f11-a775-c9810fc70741","5cbfa9f6-7496-4309-801f-ed8a969f6bb2","locked","ok"
"ee6b4694-a6e8-4a57-9016-7495fec2ce62","3fd989c1-f53a-42e5-b1f1-e18d34c21497","reviewed","ok"
"ee6b4694-a6e8-4a57-9016-7495fec2ce62","3fd989c1-f53a-42e5-b1f1-e18d34c21497","locked","ok"
"d359d2cc-d454-4a8f-93f3-0010e50990ae","4d006fea-73a6-4926-bd63-2d02b64af242","reviewed","ok"
"d359d2cc-d454-4a8f-93f3-0010e50990ae","4d006fea-73a6-4926-bd63-2d02b64af242","locked","ok"
"ca3dbeea-48b7-434e-8da7-9fdffad56d16","b3d81d2c-a6e7-40d0-84dc-eea66c22bee7","reviewed","ok"
"ca3dbeea-48b7-434e-8da7-9fdffad56d16","b3d81d2c-a6e7-40d0-84dc-eea66c22bee7","locked","ok"
"061bc245-6ad7-4609-9c73-1d2282406b96","26aeb1e5-1491-4618-bba6-bf43e884ea89","reviewed","ok"
"061bc245-6ad7-4609-9c73-1d2282406b96","26aeb1e5-1491-4618-bba6-bf43e884ea89","locked","ok"
"4cb7121e-7a15-4811-9044-014245d471bc","85494d30-76ae-44b5-a20d-e7689645f374","reviewed","ok"
"4cb7121e-7a15-4811-9044-014245d471bc","85494d30-76ae-44b5-a20d-e7689645f374","locked","ok"
"ab931381-db9d-4b8e-a8ed-d175519b341d","eedab1ad-56e1-4f9a-bf27-e6b077af1760","reviewed","ok"
"ab931381-db9d-4b8e-a8ed-d175519b341d","eedab1ad-56e1-4f9a-bf27-e6b077af1760","locked","ok"
"101d57d8-4129-4e7a-a820-c7260b796d84","c542e271-f9eb-4304-a2fb-6ca4471c6cc1","reviewed","ok"
"101d57d8-4129-4e7a-a820-c7260b796d84","c542e271-f9eb-4304-a2fb-6ca4471c6cc1","locked","ok"
"ca7d6b99-f512-4a67-b00b-1f2bb96c496a","c4012952-1df1-4ce4-a6ce-f54083541fd6","reviewed","ok"
"ca7d6b99-f512-4a67-b00b-1f2bb96c496a","c4012952-1df1-4ce4-a6ce-f54083541fd6","locked","ok"
"3f6920ec-2ecd-4f8e-bbbf-ba6e3eabdc9a","e7dfdb22-8ee7-445d-9f0a-e27ccf215314","reviewed","ok"
"3f6920ec-2ecd-4f8e-bbbf-ba6e3eabdc9a","e7dfdb22-8ee7-445d-9f0a-e27ccf215314","locked","ok"
"f9633d64-64ce-4f51-8b08-69e8ea3ef8fd","5e3f8952-3acb-45fa-8e28-b4e5ed0e3dc8","reviewed","ok"
