"question_id","year","question_number","source_ref"
,"2019","265","PUBAD-P2-2019-5b"
,"2019","266","PUBAD-P2-2019-5c"
,"2019","267","PUBAD-P2-2019-5d"
,"2019","268","PUBAD-P2-2019-5e"
,"2019","269","PUBAD-P2-2019-6a"
,"2019","270","PUBAD-P2-2019-6b"
,"2019","271","PUBAD-P2-2019-6c"
,"2019","272","PUBAD-P2-2019-7a"
,"2019","273","PUBAD-P2-2019-7b"
,"2019","274","PUBAD-P2-2019-7c"
,"2019","275","PUBAD-P2-2019-8a"
,"2019","276","PUBAD-P2-2019-8b"
,"2019","277","PUBAD-P2-2019-8c"
,"2018","250","PUBAD-P2-2018-1a"
,"2018","251","PUBAD-P2-2018-1b"
,"2018","252","PUBAD-P2-2018-1c"
,"2018","253","PUBAD-P2-2018-1d"
,"2018","254","PUBAD-P2-2018-1e"
,"2018","255","PUBAD-P2-2018-2a"
,"2018","256","PUBAD-P2-2018-2b"
,"2018","257","PUBAD-P2-2018-2c"
,"2018","258","PUBAD-P2-2018-3a"
,"2018","259","PUBAD-P2-2018-3b"
,"2018","260","PUBAD-P2-2018-3c"
,"2018","261","PUBAD-P2-2018-4a"
,"2018","262","PUBAD-P2-2018-4b"
,"2018","263","PUBAD-P2-2018-4c"
,"2018","264","PUBAD-P2-2018-5a"
,"2018","265","PUBAD-P2-2018-5b"
,"2018","266","PUBAD-P2-2018-5c"
,"2018","267","PUBAD-P2-2018-5d"
,"2018","268","PUBAD-P2-2018-5e"
,"2018","269","PUBAD-P2-2018-6a"
,"2018","270","PUBAD-P2-2018-6b"
,"2018","271","PUBAD-P2-2018-6c"
,"2018","272","PUBAD-P2-2018-7a"
,"2018","273","PUBAD-P2-2018-7b"
,"2018","274","PUBAD-P2-2018-7c"
,"2018","275","PUBAD-P2-2018-8a"
,"2018","276","PUBAD-P2-2018-8b"
,"2018","277","PUBAD-P2-2018-8c"
,"2017","250","PUBAD-P2-2017-1a"
,"2017","251","PUBAD-P2-2017-1b"
,"2017","252","PUBAD-P2-2017-1c"
,"2017","253","PUBAD-P2-2017-1d"
,"2017","254","PUBAD-P2-2017-1e"
,"2017","255","PUBAD-P2-2017-2a"
,"2017","256","PUBAD-P2-2017-2b"
,"2017","257","PUBAD-P2-2017-2c"
,"2017","258","PUBAD-P2-2017-3a"
,"2017","259","PUBAD-P2-2017-3b"
,"2017","260","PUBAD-P2-2017-3c"
,"2017","261","PUBAD-P2-2017-4a"
,"2017","262","PUBAD-P2-2017-4b"
,"2017","263","PUBAD-P2-2017-4c"
,"2017","264","PUBAD-P2-2017-5a"
,"2017","265","PUBAD-P2-2017-5b"
,"2017","266","PUBAD-P2-2017-5c"
,"2017","267","PUBAD-P2-2017-5d"
,"2017","268","PUBAD-P2-2017-5e"
,"2017","269","PUBAD-P2-2017-6a"
,"2017","270","PUBAD-P2-2017-6b"
,"2017","271","PUBAD-P2-2017-6c"
,"2017","272","PUBAD-P2-2017-7a"
,"2017","273","PUBAD-P2-2017-7b"
,"2017","274","PUBAD-P2-2017-7c"
,"2017","275","PUBAD-P2-2017-8a"
,"2017","276","PUBAD-P2-2017-8b"
,"2017","277","PUBAD-P2-2017-8c"
,"2016","250","PUBAD-P2-2016-1a"
,"2016","251","PUBAD-P2-2016-1b"
,"2016","252","PUBAD-P2-2016-1c"
,"2016","253","PUBAD-P2-2016-1d"
,"2016","254","PUBAD-P2-2016-1e"
,"2016","255","PUBAD-P2-2016-2a"
,"2016","256","PUBAD-P2-2016-2b"
,"2016","257","PUBAD-P2-2016-2c"
,"2016","258","PUBAD-P2-2016-3a"
,"2016","259","PUBAD-P2-2016-3b"
,"2016","260","PUBAD-P2-2016-3c"
,"2016","261","PUBAD-P2-2016-4a"
,"2016","262","PUBAD-P2-2016-4b"
,"2016","263","PUBAD-P2-2016-4c"
,"2016","264","PUBAD-P2-2016-5a"
,"2016","265","PUBAD-P2-2016-5b"
,"2016","266","PUBAD-P2-2016-5c"
,"2016","267","PUBAD-P2-2016-5d"
,"2016","268","PUBAD-P2-2016-5e"
,"2016","269","PUBAD-P2-2016-6a"
,"2016","270","PUBAD-P2-2016-6b"
,"2016","271","PUBAD-P2-2016-6c"
,"2016","272","PUBAD-P2-2016-7a"
,"2016","273","PUBAD-P2-2016-7b"
,"2016","274","PUBAD-P2-2016-7c"
,"2016","275","PUBAD-P2-2016-8a"
,"2016","276","PUBAD-P2-2016-8b"
,"2016","277","PUBAD-P2-2016-8c"
,"2015","250","PUBAD-P2-2015-1a"
,"2015","251","PUBAD-P2-2015-1b"
,"2015","252","PUBAD-P2-2015-1c"
,"2015","253","PUBAD-P2-2015-1d"
,"2015","254","PUBAD-P2-2015-1e"
,"2015","255","PUBAD-P2-2015-2a"
,"2015","256","PUBAD-P2-2015-2b"
,"2015","257","PUBAD-P2-2015-2c"
,"2015","258","PUBAD-P2-2015-3a"
,"2015","259","PUBAD-P2-2015-3b"
,"2015","260","PUBAD-P2-2015-3c"
,"2015","261","PUBAD-P2-2015-4a"
,"2015","262","PUBAD-P2-2015-4b"
,"2015","263","PUBAD-P2-2015-4c"
,"2015","264","PUBAD-P2-2015-5a"
,"2015","265","PUBAD-P2-2015-5b"
,"2015","266","PUBAD-P2-2015-5c"
,"2015","267","PUBAD-P2-2015-5d"
,"2015","268","PUBAD-P2-2015-5e"
,"2015","269","PUBAD-P2-2015-6a"
,"2015","270","PUBAD-P2-2015-6b"
,"2015","271","PUBAD-P2-2015-6c"
,"2015","272","PUBAD-P2-2015-7a"
,"2015","273","PUBAD-P2-2015-7b"
,"2015","274","PUBAD-P2-2015-7c"
,"2015","275","PUBAD-P2-2015-8a"
,"2015","276","PUBAD-P2-2015-8b"
,"2015","277","PUBAD-P2-2015-8c"
,"2014","250","PUBAD-P2-2014-1a"
,"2014","251","PUBAD-P2-2014-1b"
,"2014","252","PUBAD-P2-2014-1c"
,"2014","253","PUBAD-P2-2014-1d"
,"2014","254","PUBAD-P2-2014-1e"
,"2014","255","PUBAD-P2-2014-2a"
,"2014","256","PUBAD-P2-2014-2b"
,"2014","257","PUBAD-P2-2014-2c"
,"2014","258","PUBAD-P2-2014-3a"
,"2014","259","PUBAD-P2-2014-3b"
,"2014","260","PUBAD-P2-2014-3c"
,"2014","261","PUBAD-P2-2014-4a"
,"2014","262","PUBAD-P2-2014-4b"
,"2014","263","PUBAD-P2-2014-4c"
,"2014","264","PUBAD-P2-2014-5a"
,"2014","265","PUBAD-P2-2014-5b"
,"2014","266","PUBAD-P2-2014-5c"
,"2014","267","PUBAD-P2-2014-5d"
,"2014","268","PUBAD-P2-2014-5e"
,"2014","269","PUBAD-P2-2014-6a"
,"2014","270","PUBAD-P2-2014-6b"
,"2014","271","PUBAD-P2-2014-6c"
,"2014","272","PUBAD-P2-2014-7a"
,"2014","273","PUBAD-P2-2014-7b"
,"2014","274","PUBAD-P2-2014-7c"
,"2014","275","PUBAD-P2-2014-8a"
,"2014","276","PUBAD-P2-2014-8b"
,"2014","277","PUBAD-P2-2014-8c"
,"2013","250","PUBAD-P2-2013-1a"
,"2013","251","PUBAD-P2-2013-1b"
,"2013","252","PUBAD-P2-2013-1c"
,"2013","253","PUBAD-P2-2013-1d"
,"2013","254","PUBAD-P2-2013-1e"
,"2013","255","PUBAD-P2-2013-2a"
,"2013","256","PUBAD-P2-2013-2b"
,"2013","257","PUBAD-P2-2013-2c"
,"2013","258","PUBAD-P2-2013-3a"
,"2013","259","PUBAD-P2-2013-3b"
,"2013","260","PUBAD-P2-2013-3c"
,"2013","261","PUBAD-P2-2013-4a"
,"2013","262","PUBAD-P2-2013-4b"
,"2013","263","PUBAD-P2-2013-4c"
,"2013","264","PUBAD-P2-2013-5a"
,"2013","265","PUBAD-P2-2013-5b"
,"2013","266","PUBAD-P2-2013-5c"
,"2013","267","PUBAD-P2-2013-5d"
,"2013","268","PUBAD-P2-2013-5e"
,"2013","269","PUBAD-P2-2013-6a"
,"2013","270","PUBAD-P2-2013-6b"
,"2013","271","PUBAD-P2-2013-6c"
,"2013","272","PUBAD-P2-2013-7a"
,"2013","273","PUBAD-P2-2013-7b"
,"2013","274","PUBAD-P2-2013-7c"
,"2013","275","PUBAD-P2-2013-8a"
,"2013","276","PUBAD-P2-2013-8b"
,"2013","277","PUBAD-P2-2013-8c"
,"2012","250","PUBAD-P2-2012-1a"
,"2012","251","PUBAD-P2-2012-1b"
,"2012","252","PUBAD-P2-2012-1c"
,"2012","253","PUBAD-P2-2012-1d"
,"2012","254","PUBAD-P2-2012-1e"
,"2012","255","PUBAD-P2-2012-2a"
,"2012","256","PUBAD-P2-2012-2b"
,"2012","257","PUBAD-P2-2012-3a"
,"2012","258","PUBAD-P2-2012-3b"
,"2012","259","PUBAD-P2-2012-3c"
,"2012","260","PUBAD-P2-2012-4a"
,"2012","261","PUBAD-P2-2012-4b"
,"2012","262","PUBAD-P2-2012-4c"
,"2012","263","PUBAD-P2-2012-5a"
,"2012","264","PUBAD-P2-2012-5b"
,"2012","265","PUBAD-P2-2012-5c"
,"2012","266","PUBAD-P2-2012-5d"
,"2012","267","PUBAD-P2-2012-5e"
,"2012","268","PUBAD-P2-2012-6a"
,"2012","269","PUBAD-P2-2012-6b"
,"2012","270","PUBAD-P2-2012-7a"
,"2012","271","PUBAD-P2-2012-7b"
,"2012","272","PUBAD-P2-2012-7c"
,"2012","273","PUBAD-P2-2012-8a"
,"2012","274","PUBAD-P2-2012-8b"
,"2012","275","PUBAD-P2-2012-8c"
,"2011","250","PUBAD-P2-2011-1a"
,"2011","251","PUBAD-P2-2011-1b"
,"2011","252","PUBAD-P2-2011-1c"
,"2011","253","PUBAD-P2-2011-2a"
,"2011","254","PUBAD-P2-2011-2b"
,"2011","255","PUBAD-P2-2011-3a"
,"2011","256","PUBAD-P2-2011-3b"
,"2011","257","PUBAD-P2-2011-4a"
