"question_id","year","question_number","source_ref"
,"2019","456","ANTH-P2-2019-2b"
,"2019","457","ANTH-P2-2019-2c"
,"2019","458","ANTH-P2-2019-3a"
,"2019","459","ANTH-P2-2019-3b"
,"2019","460","ANTH-P2-2019-3c"
,"2019","461","ANTH-P2-2019-4a"
,"2019","462","ANTH-P2-2019-4b"
,"2019","463","ANTH-P2-2019-4c"
,"2019","464","ANTH-P2-2019-5a"
,"2019","465","ANTH-P2-2019-5b"
,"2019","466","ANTH-P2-2019-5c"
,"2019","467","ANTH-P2-2019-5d"
,"2019","468","ANTH-P2-2019-5e"
,"2019","469","ANTH-P2-2019-6a"
,"2019","470","ANTH-P2-2019-6b"
,"2019","471","ANTH-P2-2019-6c"
,"2019","472","ANTH-P2-2019-7a"
,"2019","473","ANTH-P2-2019-7b"
,"2019","474","ANTH-P2-2019-7c"
,"2019","475","ANTH-P2-2019-8a"
,"2019","476","ANTH-P2-2019-8b"
,"2019","477","ANTH-P2-2019-8c"
,"2018","450","ANTH-P2-2018-1a"
,"2018","451","ANTH-P2-2018-1b"
,"2018","452","ANTH-P2-2018-1c"
,"2018","453","ANTH-P2-2018-1d"
,"2018","454","ANTH-P2-2018-1e"
,"2018","455","ANTH-P2-2018-2a"
,"2018","456","ANTH-P2-2018-2b"
,"2018","457","ANTH-P2-2018-2c"
,"2018","458","ANTH-P2-2018-3a"
,"2018","459","ANTH-P2-2018-3b"
,"2018","460","ANTH-P2-2018-3c"
,"2018","461","ANTH-P2-2018-4a"
,"2018","462","ANTH-P2-2018-4b"
,"2018","463","ANTH-P2-2018-4c"
,"2018","464","ANTH-P2-2018-5a"
,"2018","465","ANTH-P2-2018-5b"
,"2018","466","ANTH-P2-2018-5c"
,"2018","467","ANTH-P2-2018-5d"
,"2018","468","ANTH-P2-2018-5e"
,"2018","469","ANTH-P2-2018-6a"
,"2018","470","ANTH-P2-2018-6b"
,"2018","471","ANTH-P2-2018-6c"
,"2018","472","ANTH-P2-2018-7a"
,"2018","473","ANTH-P2-2018-7b"
,"2018","474","ANTH-P2-2018-7c"
,"2018","475","ANTH-P2-2018-8a"
,"2018","476","ANTH-P2-2018-8b"
,"2018","477","ANTH-P2-2018-8c"
,"2017","450","ANTH-P2-2017-1a"
,"2017","451","ANTH-P2-2017-1b"
,"2017","452","ANTH-P2-2017-1c"
,"2017","453","ANTH-P2-2017-1d"
,"2017","454","ANTH-P2-2017-1e"
,"2017","455","ANTH-P2-2017-2a"
,"2017","456","ANTH-P2-2017-2b"
,"2017","457","ANTH-P2-2017-2c"
,"2017","458","ANTH-P2-2017-3a"
,"2017","459","ANTH-P2-2017-3b"
,"2017","460","ANTH-P2-2017-3c"
,"2017","461","ANTH-P2-2017-4a"
,"2017","462","ANTH-P2-2017-4b"
,"2017","463","ANTH-P2-2017-4c"
,"2017","464","ANTH-P2-2017-5a"
,"2017","465","ANTH-P2-2017-5b"
,"2017","466","ANTH-P2-2017-5c"
,"2017","467","ANTH-P2-2017-5d"
,"2017","468","ANTH-P2-2017-5e"
,"2017","469","ANTH-P2-2017-6a"
,"2017","470","ANTH-P2-2017-6b"
,"2017","471","ANTH-P2-2017-6c"
,"2017","472","ANTH-P2-2017-7a"
,"2017","473","ANTH-P2-2017-7b"
,"2017","474","ANTH-P2-2017-7c"
,"2017","475","ANTH-P2-2017-8a"
,"2017","476","ANTH-P2-2017-8b"
,"2017","477","ANTH-P2-2017-8c"
,"2016","450","ANTH-P2-2016-1a"
,"2016","451","ANTH-P2-2016-1b"
,"2016","452","ANTH-P2-2016-1c"
,"2016","453","ANTH-P2-2016-1d"
,"2016","454","ANTH-P2-2016-1e"
,"2016","455","ANTH-P2-2016-2a"
,"2016","456","ANTH-P2-2016-2b"
,"2016","457","ANTH-P2-2016-2c"
,"2016","458","ANTH-P2-2016-3a"
,"2016","459","ANTH-P2-2016-3b"
,"2016","460","ANTH-P2-2016-3c"
,"2016","461","ANTH-P2-2016-4a"
,"2016","462","ANTH-P2-2016-4b"
,"2016","463","ANTH-P2-2016-4c"
,"2016","464","ANTH-P2-2016-5a"
,"2016","465","ANTH-P2-2016-5b"
,"2016","466","ANTH-P2-2016-5c"
,"2016","467","ANTH-P2-2016-5d"
,"2016","468","ANTH-P2-2016-5e"
,"2016","469","ANTH-P2-2016-6a"
,"2016","470","ANTH-P2-2016-6b"
,"2016","471","ANTH-P2-2016-6c"
,"2016","472","ANTH-P2-2016-7a"
,"2016","473","ANTH-P2-2016-7b"
,"2016","474","ANTH-P2-2016-7c"
,"2016","475","ANTH-P2-2016-8a"
,"2016","476","ANTH-P2-2016-8b"
,"2016","477","ANTH-P2-2016-8c"
,"2015","450","ANTH-P2-2015-1a"
,"2015","451","ANTH-P2-2015-1b"
,"2015","452","ANTH-P2-2015-1c"
,"2015","453","ANTH-P2-2015-1d"
,"2015","454","ANTH-P2-2015-1e"
,"2015","455","ANTH-P2-2015-2a"
,"2015","456","ANTH-P2-2015-2b"
,"2015","457","ANTH-P2-2015-2c"
,"2015","458","ANTH-P2-2015-3a"
,"2015","459","ANTH-P2-2015-3b"
,"2015","460","ANTH-P2-2015-3c"
,"2015","461","ANTH-P2-2015-4a"
,"2015","462","ANTH-P2-2015-4b"
,"2015","463","ANTH-P2-2015-4c"
,"2015","464","ANTH-P2-2015-5a"
,"2015","465","ANTH-P2-2015-5b"
,"2015","466","ANTH-P2-2015-5c"
,"2015","467","ANTH-P2-2015-5d"
,"2015","468","ANTH-P2-2015-5e"
,"2015","469","ANTH-P2-2015-6a"
,"2015","470","ANTH-P2-2015-6b"
,"2015","471","ANTH-P2-2015-6c"
,"2015","472","ANTH-P2-2015-7a"
,"2015","473","ANTH-P2-2015-7b"
,"2015","474","ANTH-P2-2015-7c"
,"2015","475","ANTH-P2-2015-8a"
,"2015","476","ANTH-P2-2015-8b"
,"2015","477","ANTH-P2-2015-8c"
,"2014","450","ANTH-P2-2014-1a"
,"2014","451","ANTH-P2-2014-1b"
,"2014","452","ANTH-P2-2014-1c"
,"2014","453","ANTH-P2-2014-1d"
,"2014","454","ANTH-P2-2014-1e"
,"2014","455","ANTH-P2-2014-2a"
,"2014","456","ANTH-P2-2014-2b"
,"2014","457","ANTH-P2-2014-2c"
,"2014","458","ANTH-P2-2014-3a"
,"2014","459","ANTH-P2-2014-3b"
,"2014","460","ANTH-P2-2014-3c"
,"2014","461","ANTH-P2-2014-4a"
,"2014","462","ANTH-P2-2014-4b"
,"2014","463","ANTH-P2-2014-4c"
,"2014","464","ANTH-P2-2014-5a"
,"2014","465","ANTH-P2-2014-5b"
,"2014","466","ANTH-P2-2014-5c"
,"2014","467","ANTH-P2-2014-5d"
,"2014","468","ANTH-P2-2014-5e"
,"2014","469","ANTH-P2-2014-6a"
,"2014","470","ANTH-P2-2014-6b"
,"2014","471","ANTH-P2-2014-6c"
,"2014","472","ANTH-P2-2014-7a"
,"2014","473","ANTH-P2-2014-7b"
,"2014","474","ANTH-P2-2014-7c"
,"2014","475","ANTH-P2-2014-8a"
,"2014","476","ANTH-P2-2014-8b"
,"2014","477","ANTH-P2-2014-8c"
,"2013","450","ANTH-P2-2013-1a"
,"2013","451","ANTH-P2-2013-1b"
,"2013","452","ANTH-P2-2013-1c"
,"2013","453","ANTH-P2-2013-1d"
,"2013","454","ANTH-P2-2013-1e"
,"2013","455","ANTH-P2-2013-2a"
,"2013","456","ANTH-P2-2013-2b"
,"2013","457","ANTH-P2-2013-2c"
,"2013","458","ANTH-P2-2013-3a"
,"2013","459","ANTH-P2-2013-3b"
,"2013","460","ANTH-P2-2013-4a"
,"2013","461","ANTH-P2-2013-4b"
,"2013","462","ANTH-P2-2013-4c"
,"2013","463","ANTH-P2-2013-5a"
,"2013","464","ANTH-P2-2013-5b"
,"2013","465","ANTH-P2-2013-5c"
,"2013","466","ANTH-P2-2013-5d"
,"2013","467","ANTH-P2-2013-5e"
,"2013","468","ANTH-P2-2013-6a"
,"2013","469","ANTH-P2-2013-6b"
,"2013","470","ANTH-P2-2013-6c"
,"2013","471","ANTH-P2-2013-7a"
,"2013","472","ANTH-P2-2013-7b"
,"2013","473","ANTH-P2-2013-7c"
,"2013","474","ANTH-P2-2013-8a"
,"2013","475","ANTH-P2-2013-8b"
,"2013","476","ANTH-P2-2013-8c"
