file,year,paper,question_number,paper_local_number,global_number,en_len,verdict,best_score,matched_year,matched_qno,ocr_derived
UPSCCSEMains2013GS2.json,2013,GS2,20,20,40,117,unverifiable,59.5,2025,16,false
UPSCCSEMains2013GS2.json,2013,GS2,21,1,21,102,unverifiable,59.4,2025,1,false
UPSCCSEMains2013GS2.json,2013,GS2,22,2,22,114,unverifiable,61.0,2025,15,false
UPSCCSEMains2013GS2.json,2013,GS2,23,3,23,109,unverifiable,56.6,2025,18,false
UPSCCSEMains2013GS2.json,2013,GS2,24,4,24,99,unverifiable,56.1,2024,,false
UPSCCSEMains2013GS2.json,2013,GS2,25,5,25,95,unverifiable,57.4,2025,11,false
UPSCCSEMains2013GS3.json,2013,GS3,1,1,41,130,unverifiable,59.6,2025,9,false
UPSCCSEMains2013GS3.json,2013,GS3,2,2,42,132,unverifiable,52.8,2025,19,false
UPSCCSEMains2013GS3.json,2013,GS3,3,3,43,94,unverifiable,59.3,2022,16,false
UPSCCSEMains2013GS3.json,2013,GS3,4,4,44,96,unverifiable,54.1,2025,15,false
UPSCCSEMains2013GS3.json,2013,GS3,5,5,45,103,unverifiable,58.6,2025,7,false
UPSCCSEMains2013GS3.json,2013,GS3,6,6,46,110,unverifiable,56.5,2025,19,false
UPSCCSEMains2013GS3.json,2013,GS3,7,7,47,108,unverifiable,56.6,2025,11,false
UPSCCSEMains2013GS3.json,2013,GS3,8,8,48,136,unverifiable,54.1,2025,1,false
UPSCCSEMains2013GS3.json,2013,GS3,9,9,49,88,unverifiable,56.6,2025,5,false
UPSCCSEMains2013GS3.json,2013,GS3,10,10,50,131,unverifiable,51.9,2022,1,false
UPSCCSEMains2013GS3.json,2013,GS3,11,11,51,111,unverifiable,51.8,2022,11,false
UPSCCSEMains2013GS3.json,2013,GS3,12,12,52,110,unverifiable,55.0,2025,10,false
UPSCCSEMains2013GS3.json,2013,GS3,13,13,53,133,unverifiable,52.2,2025,6,false
UPSCCSEMains2013GS3.json,2013,GS3,14,14,54,121,unverifiable,53.0,2022,20,false
UPSCCSEMains2013GS3.json,2013,GS3,15,15,55,122,unverifiable,53.9,2022,1,false
UPSCCSEMains2013GS3.json,2013,GS3,16,16,56,129,unverifiable,55.9,2025,5,false
UPSCCSEMains2013GS3.json,2013,GS3,17,17,57,116,unverifiable,56.2,2015,10,false
UPSCCSEMains2013GS3.json,2013,GS3,18,18,58,124,unverifiable,55.4,2022,1,false
UPSCCSEMains2013GS3.json,2013,GS3,19,19,59,85,unverifiable,53.6,2025,13,false
UPSCCSEMains2013GS3.json,2013,GS3,20,20,60,116,unverifiable,57.1,2022,12,false
UPSCCSEMains2013GS3.json,2013,GS3,21,21,21,117,unverifiable,58.3,2015,15,false
UPSCCSEMains2013GS3.json,2013,GS3,22,22,22,106,unverifiable,52.4,2022,9,false
UPSCCSEMains2013GS3.json,2013,GS3,23,23,23,130,unverifiable,51.4,2025,10,false
UPSCCSEMains2013GS3.json,2013,GS3,24,24,24,124,unverifiable,52.8,2022,4,false
UPSCCSEMains2013GS3.json,2013,GS3,25,25,25,138,unverifiable,51.9,2025,9,false
UPSCCSEMains2013GS4.json,2013,GS4,1a,1a,,110,unverifiable,55.7,2015,10,false
