file,year,paper,question_number,paper_local_number,global_number,en_len,verdict,best_score,ocr_derived
UPSCCSEMains2013GS1.json,2013,GS1,6,6,6,129,orphan,52.0,true
UPSCCSEMains2013GS1.json,2013,GS1,7,7,7,117,orphan,53.9,true
UPSCCSEMains2013GS1.json,2013,GS1,8,8,8,126,orphan,46.7,true
UPSCCSEMains2013GS1.json,2013,GS1,9,9,9,80,orphan,55.7,true
UPSCCSEMains2013GS1.json,2013,GS1,10,10,10,85,orphan,56.1,true
UPSCCSEMains2013GS1.json,2013,GS1,11,11,11,106,orphan,52.9,true
UPSCCSEMains2013GS1.json,2013,GS1,12,12,12,102,orphan,57.4,true
UPSCCSEMains2013GS1.json,2013,GS1,13,13,13,94,orphan,68.5,true
UPSCCSEMains2013GS1.json,2013,GS1,14,14,14,86,orphan,51.8,true
UPSCCSEMains2013GS1.json,2013,GS1,15,15,15,63,orphan,53.2,true
UPSCCSEMains2013GS1.json,2013,GS1,16,16,16,99,orphan,63.3,true
UPSCCSEMains2013GS1.json,2013,GS1,17,17,17,75,orphan,70.4,true
UPSCCSEMains2013GS1.json,2013,GS1,18,18,18,68,orphan,56.7,true
UPSCCSEMains2013GS1.json,2013,GS1,19,19,19,68,orphan,56.7,true
UPSCCSEMains2013GS1.json,2013,GS1,20,20,20,99,orphan,53.1,true
UPSCCSEMains2013GS1.json,2013,GS1,21,21,21,91,orphan,50.0,true
UPSCCSEMains2013GS1.json,2013,GS1,22,22,22,87,orphan,68.6,true
UPSCCSEMains2013GS1.json,2013,GS1,23,23,23,88,orphan,47.7,true
UPSCCSEMains2013GS1.json,2013,GS1,24,24,24,81,orphan,51.2,true
UPSCCSEMains2013GS1.json,2013,GS1,25,25,25,100,orphan,49.5,true
UPSCCSEMains2013GS2.json,2013,GS2,1,1,21,93,orphan,53.8,true
UPSCCSEMains2013GS2.json,2013,GS2,2,2,22,62,orphan,57.4,true
UPSCCSEMains2013GS2.json,2013,GS2,3,3,23,115,orphan,51.3,true
UPSCCSEMains2013GS2.json,2013,GS2,4,4,24,103,orphan,51.0,true
UPSCCSEMains2013GS2.json,2013,GS2,5,5,25,87,orphan,60.5,true
UPSCCSEMains2013GS2.json,2013,GS2,6,6,26,128,orphan,50.0,true
UPSCCSEMains2013GS2.json,2013,GS2,7,7,27,120,orphan,49.1,true
UPSCCSEMains2013GS2.json,2013,GS2,8,8,28,95,orphan,51.1,true
UPSCCSEMains2013GS2.json,2013,GS2,9,9,29,95,orphan,52.2,true
UPSCCSEMains2013GS2.json,2013,GS2,10,10,30,121,orphan,51.7,true
UPSCCSEMains2013GS2.json,2013,GS2,11,11,31,120,orphan,49.6,true
UPSCCSEMains2013GS2.json,2013,GS2,12,12,32,102,orphan,53.5,true
UPSCCSEMains2013GS2.json,2013,GS2,13,13,33,122,orphan,51.2,true
UPSCCSEMains2013GS2.json,2013,GS2,14,14,34,104,orphan,50.0,true
UPSCCSEMains2013GS2.json,2013,GS2,15,15,35,134,orphan,48.9,true
UPSCCSEMains2013GS2.json,2013,GS2,16,16,36,84,orphan,53.0,true
UPSCCSEMains2013GS2.json,2013,GS2,17,17,37,71,orphan,51.4,true
UPSCCSEMains2013GS2.json,2013,GS2,18,18,38,95,orphan,51.1,true
UPSCCSEMains2013GS2.json,2013,GS2,19,19,39,121,orphan,48.7,true
UPSCCSEMains2013GS2.json,2013,GS2,20,20,40,117,orphan,50.0,true
UPSCCSEMains2013GS2.json,2013,GS2,21,1,21,102,orphan,54.5,true
UPSCCSEMains2013GS2.json,2013,GS2,22,2,22,114,orphan,52.7,true
UPSCCSEMains2013GS2.json,2013,GS2,23,3,23,109,orphan,50.9,true
UPSCCSEMains2013GS2.json,2013,GS2,24,4,24,99,orphan,51.0,true
